latitude,longitude,signal_strength
37.77490,-122.41940,-68
37.77510,-122.41920,-70
37.77470,-122.41920,-71
37.77450,-122.41960,-73
37.77530,-122.41960,-67
37.77550,-122.41900,-66
37.77430,-122.41900,-75
37.77570,-122.41980,-69
37.77410,-122.41980,-77
37.77590,-122.41880,-65
37.77390,-122.41880,-79
37.77610,-122.42000,-70
37.77370,-122.42000,-80
37.77630,-122.41860,-64
37.77350,-122.41860,-82
37.77650,-122.42020,-72
37.77330,-122.42020,-83
37.77670,-122.41840,-63
37.77310,-122.41840,-84
37.77690,-122.42040,-73
37.77290,-122.42040,-85
37.77710,-122.41820,-62
37.77270,-122.41820,-86
37.77730,-122.42060,-74
37.77250,-122.42060,-87
37.77750,-122.41800,-61
37.77230,-122.41800,-88
37.77770,-122.42080,-75
37.77210,-122.42080,-89
37.77790,-122.41780,-60
37.77190,-122.41780,-90
37.77810,-122.42100,-76
37.77170,-122.42100,-91
37.77830,-122.41760,-59
37.77150,-122.41760,-92
37.77850,-122.42120,-77
37.77130,-122.42120,-92
37.77870,-122.41740,-58
37.77110,-122.41740,-93
37.77890,-122.42140,-78
37.77090,-122.42140,-93
37.77910,-122.41720,-57
37.77070,-122.41720,-94
37.77930,-122.42160,-79
37.77050,-122.42160,-94
37.77950,-122.41700,-56
37.77030,-122.41700,-95
37.77970,-122.42180,-80
37.77010,-122.42180,-95